date,Isle of Anglesey,Gwynedd,Conwy,Denbigshire,Flintshire,Wrexham,Powys,Ceredigion,Pembrokeshire,Carmarthenshire,Swansea,Neath Port Talbot,Bridgend,Vale of Glamorgan,Rhondda Cynon Taff,Merthyr Tydfil,Caerphilly,Blaenau Gwent,torfaen,Monmouthshire,Newport,Cardiff;;;;;;;;
2006,1530,1034,1328,1086,958,706,855,441,727,1649,7401,1631,1074,2630,3478,1547,3116,285,594,846,133,21792;;;;;;;;
2007,2613,878,1336,991,903,993,1584,480,819,1215,7323,1557,2042,1546,3257,1482,2725,394,871,812,1637,26537;;;;;;;;
2008,1999,541,1580,3793,746,2116,2435,356,660,1487,5081,1049,482,1391,3950,1567,2195,381,795,837,3455,18453;;;;;;;;
2009,1585,511,1009,5189,785,3279,2033,317,693,1619,4042,833,664,1598,3961,1354,1560,230,746,659,4015,11497;;;;;;;;
2010,1045,648,1361,2515,697,1759,1614,327,634,1542,2902,1137,827,1388,4448,850,2680,237,361,645,2648,11485;;;;;;;;
2011,801,527,1055,2249,911,1022,551,270,732,1516,2003,2107,684,979,3864,1128,1618,177,316,599,2014,11288;;;;;;;;
2012,1103,371,935,2144,911,505,658,253,710,1363,2705,1406,854,833,3193,1416,1479,334,363,446,1982,10912;;;;;;;;
2013,1320,514,925,2206,899,476,682,317,1163,1438,2702,1269,1033,1048,3935,1320,2609,483,410,501,1578,6106;;;;;;;;
2014,1767,529,980,1446,938,235,804,446,818,1306,4415,1267,1086,906,4252,1010,2052,726,590,407,1828,3905;;;;;;;;
