date,Paper,Glass,Aluminium,Steel,Plastic,Wood
2006,27000,42000,5000,87000,9000,199000
2007,8000,50000,6000,96000,3000,213000
2008,11000,76000,5000,100000,3000,170000
2009,9000,98000,4000,45000,4000,161000
2010,13000,108000,7000,100000,3000,168000
2011,20000,61000,9500,125000,5000,159000
