label,count,candidate
Conservative,36.5,Jonathan Morgan
Labour,39,Julie Morgan
Liberal Democrat,18.7,John Dixon
Plaid Cymru,4.3,John Rowlands
UKIP,1.2,Don Hulston
Forward Wales,0.3,Alison Hobbs
Rainbow Dream,0,Catherine Taylor-Dawson
