label,count,candidate,cons
Conservative,37.5,Jonathan Evans,W07000051
Labour,37.1,Julie Morgan,W07000051
Liberal Democrat,18.3,John Dixon,W07000051
Plaid Cymru,3.3,Llywelyn Rhys,W07000051
UKIP,2.4,Lawrence Gwynn,W07000051
Green,0.8,Christopher von Ruhland,W07000051
Christian,0.6,Derek Thomson,W07000051
