LocalAuthority,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cardiff,21792,26537,18453,11497,11485,11288,10912,6106,3905
Rhondda C. Taff,3478,3257,3950,3961,4448,3864,3193,3935,4252
Swansea,7401,7323,5081,4042,2902,2003,2705,2702,4415
Total,54841,61995,55349,48179,41750,36411,34876,32924,31713
